Episode,Step,Action,Reward
3,5,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00099842 0.00102229 0.00084176]
  [0.00107311 0.00109964 0.00090792]
  [0.00115783 0.00118708 0.00098531]
  ...
  [0.00121328 0.0011979  0.00101336]
  [0.00120231 0.00118693 0.00100236]
  [0.00119464 0.00117926 0.00099431]]

 [[0.00112543 0.00115606 0.00095658]
  [0.00113105 0.00116178 0.00096116]
  [0.00112501 0.00115577 0.00095633]
  ...
  [0.00118986 0.0011745  0.00098995]
  [0.0011808  0.00116542 0.00098087]
  [0.00117621 0.00116083 0.00097629]]

 [[0.00110842 0.00113918 0.00094263]
  [0.00106996 0.00110072 0.00091014]
  [0.00106627 0.00109703 0.00090833]
  ...
  [0.00117673 0.00116296 0.00097762]
  [0.00118074 0.00116536 0.00098082]
  [0.00119003 0.00117465 0.00099011]]]",[ 0.75175305 -1.        ],0.20553028103194682
3,6,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.000723   0.00067867 0.00051595]
  [0.0007925  0.00075269 0.00058082]
  [0.00082665 0.00079622 0.00062257]
  ...
  [0.00118581 0.00117043 0.00098573]
  [0.00118988 0.0011745  0.00098996]
  [0.00120481 0.00118943 0.00100488]]

 [[0.00095241 0.00095611 0.00077275]
  [0.00099872 0.00101463 0.00082919]
  [0.00101763 0.00103909 0.00085478]
  ...
  [0.00120454 0.00118916 0.00100462]
  [0.00121561 0.00120023 0.00101568]
  [0.00122374 0.00120836 0.00102381]]

 [[0.00100941 0.00103463 0.00085157]
  [0.00107604 0.00110296 0.00091224]
  [0.00113444 0.00116274 0.00096316]
  ...
  [0.00122379 0.00120841 0.00102387]
  [0.0012283  0.00121292 0.00102838]
  [0.00122363 0.00120825 0.0010237 ]]]",[ 0.8       -0.8032308],0.21946043164189488
3,7,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00085666 0.00081052 0.00063051]
  [0.00075798 0.00071184 0.00054236]
  [0.00079369 0.00074755 0.00057494]
  ...
  [0.00117897 0.00116359 0.00097905]
  [0.0011801  0.00116472 0.00098018]
  [0.00117312 0.00115774 0.0009732 ]]

 [[0.00072114 0.00067501 0.00051146]
  [0.00074535 0.00069922 0.00053329]
  [0.00080017 0.00075403 0.00057962]
  ...
  [0.00118411 0.00116873 0.00098419]
  [0.00118508 0.0011697  0.00098512]
  [0.00117365 0.00115827 0.00097372]]

 [[0.00079541 0.00074928 0.00057781]
  [0.00085507 0.00080894 0.00062739]
  [0.00075625 0.00071011 0.00054107]
  ...
  [0.00119929 0.00118392 0.0009991 ]
  [0.00122507 0.00120969 0.00102101]
  [0.00121334 0.00119796 0.00101165]]]",[ 0.8        -0.82001987],0.23786589779418477
3,8,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00088517 0.0008411  0.00065748]
  [0.00081508 0.00077087 0.0005944 ]
  [0.00077486 0.00072875 0.00055718]
  ...
  [0.0011384  0.00115808 0.00096315]
  [0.00112439 0.00112848 0.00093809]
  [0.00113669 0.00112926 0.00094125]]

 [[0.00072626 0.00067928 0.00051527]
  [0.00068483 0.000638   0.00047753]
  [0.00080839 0.00076362 0.00058865]
  ...
  [0.00114933 0.00114055 0.00095429]
  [0.00116827 0.00115392 0.00096881]
  [0.00118858 0.00117329 0.00098872]]

 [[0.00074144 0.00069522 0.00052804]
  [0.00082691 0.00078091 0.00060442]
  [0.00083426 0.00078908 0.00061148]
  ...
  [0.00117906 0.00116374 0.00097919]
  [0.0011751  0.00115973 0.00097518]
  [0.00120495 0.00118957 0.00100503]]]",[ 0.55546057 -1.        ],0.2598030712820747
3,9,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00086771 0.00085473 0.00065538]
  [0.00084051 0.00082494 0.00062941]
  [0.00083207 0.00080666 0.00061712]
  ...
  [0.00110752 0.00113828 0.00093837]
  [0.00112192 0.00115268 0.00095274]
  [0.00112349 0.00115425 0.00095394]]

 [[0.00085593 0.00084467 0.00064657]
  [0.00075614 0.00073647 0.00055275]
  [0.00078033 0.00074103 0.00056507]
  ...
  [0.00112143 0.00115219 0.00095227]
  [0.00112856 0.00115932 0.0009594 ]
  [0.00112903 0.00115979 0.00095986]]

 [[0.00072215 0.00070254 0.00052344]
  [0.00074579 0.00071733 0.00053999]
  [0.00075786 0.00072929 0.00055165]
  ...
  [0.00111784 0.00114859 0.00094867]
  [0.00112611 0.00115686 0.00095694]
  [0.00113492 0.00116568 0.00096576]]]",[ 0.8 -1. ],0.2855438991056538
3,10,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.0009033  0.00085798 0.00066998]
  [0.00076371 0.00071731 0.00054798]
  [0.00076472 0.00071858 0.00054888]
  ...
  [0.00117267 0.00120342 0.00099911]
  [0.00115155 0.00118231 0.00097346]
  [0.00109373 0.00112448 0.00091995]]

 [[0.00076933 0.00072314 0.00055368]
  [0.00077094 0.00072421 0.00055471]
  [0.00085017 0.00080403 0.00062455]
  ...
  [0.00113511 0.00116586 0.00096587]
  [0.00117235 0.00120311 0.0010013 ]
  [0.0011626  0.00119336 0.0009865 ]]

 [[0.00083561 0.00078948 0.00061232]
  [0.00089188 0.00084574 0.00066148]
  [0.0007757  0.00072957 0.00055947]
  ...
  [0.00112938 0.00116014 0.00096022]
  [0.00112028 0.00115104 0.00095111]
  [0.00113459 0.00116534 0.00096512]]]",[ 0.8 -1. ],0.3147175165625069
3,11,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00074774 0.00071691 0.00050705]
  [0.00077472 0.00074403 0.00053061]
  [0.00082444 0.00079371 0.00056692]
  ...
  [0.00118165 0.00121241 0.00100704]
  [0.00119391 0.00122467 0.00101943]
  [0.00116062 0.00119138 0.00099116]]

 [[0.00074695 0.00071648 0.00050731]
  [0.00088105 0.00085362 0.00062362]
  [0.00078551 0.00075517 0.00052055]
  ...
  [0.00112771 0.00115847 0.00096003]
  [0.00116123 0.00119199 0.00098878]
  [0.00119028 0.00122103 0.00101607]]

 [[0.0008849  0.00085431 0.0006267 ]
  [0.00085282 0.00082348 0.0005918 ]
  [0.00074467 0.00071396 0.00049147]
  ...
  [0.0011675  0.00119826 0.00099793]
  [0.00114148 0.00117224 0.00097206]
  [0.00113611 0.00116686 0.00096623]]]",[ 0.8 -1. ],0.34703057520549097
3,12,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00082088 0.00079013 0.00054541]
  [0.00086065 0.00082989 0.00057785]
  [0.00077333 0.00074257 0.00049486]
  ...
  [0.00113682 0.00116757 0.00096765]
  [0.00114291 0.00117367 0.00097374]
  [0.00112147 0.00115223 0.00095236]]

 [[0.00078536 0.00075461 0.00051304]
  [0.00075011 0.00071935 0.00047862]
  [0.00073898 0.0007082  0.00046012]
  ...
  [0.00112465 0.00115541 0.00095549]
  [0.00113992 0.00117068 0.00097075]
  [0.00115473 0.00118549 0.00098556]]

 [[0.00086626 0.0008355  0.00058   ]
  [0.00078237 0.00075161 0.00050166]
  [0.00083878 0.00080739 0.00054481]
  ...
  [0.00113972 0.00117047 0.00097055]
  [0.00113862 0.00116937 0.00096945]
  [0.00113879 0.00116955 0.00096962]]]",[ 0.75727057 -0.83264179],0.38210945737498925
3,13,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00079752 0.00074012 0.00039322]
  [0.00124436 0.00107534 0.00019162]
  [0.0026489  0.00238726 0.0005404 ]
  ...
  [0.00111146 0.00114222 0.00093427]
  [0.00110508 0.00113584 0.00092602]
  [0.00112189 0.0011526  0.00093887]]

 [[0.00103272 0.00089875 0.00021385]
  [0.00218937 0.00194258 0.00039033]
  [0.00324911 0.00298422 0.00069786]
  ...
  [0.00116182 0.00119257 0.00097741]
  [0.00113771 0.00116846 0.00095352]
  [0.00110913 0.00113989 0.00092917]]

 [[0.00165612 0.00144318 0.00024593]
  [0.00303501 0.00276697 0.00070216]
  [0.00338213 0.00312927 0.00059763]
  ...
  [0.00115149 0.00118224 0.000967  ]
  [0.00113412 0.00116487 0.00095017]
  [0.00112071 0.00115147 0.00093752]]]",[ 0.8        -0.92815769],0.419797236545433
3,14,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00328521 0.00305181 0.00038218]
  [0.00330656 0.00309582 0.00029212]
  [0.00328536 0.00308482 0.00021834]
  ...
  [0.00111446 0.00112692 0.00093063]
  [0.0011082  0.00109833 0.00091781]
  [0.00115189 0.00113677 0.00095467]]

 [[0.00329208 0.00309315 0.00031512]
  [0.00329208 0.0030938  0.00026437]
  [0.00328933 0.00306992 0.00024479]
  ...
  [0.00114674 0.00117676 0.00096458]
  [0.00111768 0.001138   0.00093663]
  [0.00110739 0.00110453 0.00092003]]

 [[0.00334379 0.00311992 0.00028603]
  [0.00333468 0.00306961 0.00027082]
  [0.00336242 0.00304629 0.00031586]
  ...
  [0.0011315  0.00116214 0.0009508 ]
  [0.00108507 0.00111349 0.00090892]
  [0.00108691 0.00111428 0.00091215]]]",[ 0.70727226 -0.89780281],0.45996514587248494
3,15,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00074734 0.00065249 0.00056432]
  [0.00083402 0.00069919 0.00058247]
  [0.00086488 0.00069903 0.00048047]
  ...
  [0.0008083  0.00079292 0.0006278 ]
  [0.00076879 0.00075341 0.00059209]
  [0.00078891 0.00077353 0.00060955]]

 [[0.00094264 0.00075754 0.00035905]
  [0.00113894 0.00094127 0.00032096]
  [0.0013828  0.00117611 0.00029792]
  ...
  [0.00074756 0.00073218 0.00057378]
  [0.00074099 0.00072561 0.00056992]
  [0.00072694 0.00071156 0.00055662]]

 [[0.00206671 0.00189864 0.00058506]
  [0.00256261 0.00239541 0.00072583]
  [0.0029115  0.00275326 0.00069795]
  ...
  [0.00077484 0.00075946 0.00059901]
  [0.00072171 0.00070633 0.0005515 ]
  [0.0007947  0.00077932 0.00061507]]]",[ 0.71200932 -1.        ],0.502150563481097
3,16,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00076091 0.00075405 0.00056452]
  [0.00077328 0.00077634 0.00065561]
  [0.00082652 0.00085342 0.00071602]
  ...
  [0.00085533 0.00083995 0.00066838]
  [0.00077225 0.00075687 0.00059619]
  [0.0006786  0.00066304 0.00051415]]

 [[0.0007039  0.00073862 0.00052138]
  [0.00075525 0.00082024 0.00055978]
  [0.00077378 0.00084967 0.0005356 ]
  ...
  [0.00073178 0.00071639 0.0005602 ]
  [0.00066734 0.00065141 0.0005035 ]
  [0.0006375  0.0006215  0.00047865]]

 [[0.00073989 0.00080707 0.00047093]
  [0.00085806 0.00093596 0.00053572]
  [0.0007994  0.00085403 0.0004475 ]
  ...
  [0.00063303 0.00061606 0.00047357]
  [0.00060796 0.0005888  0.00044939]
  [0.00062045 0.00060147 0.00046052]]]",[ 0.8       -0.9414574],0.5466942676049398
3,17,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00327868 0.00306621 0.00050168]
  [0.00290399 0.00267793 0.00079679]
  [0.00186947 0.00162842 0.00064463]
  ...
  [0.00081758 0.00077428 0.00059717]
  [0.00081668 0.00078688 0.00060078]
  [0.00080908 0.00079092 0.00059833]]

 [[0.00307868 0.00286733 0.00077684]
  [0.00205691 0.00182198 0.00060769]
  [0.00115572 0.0009333  0.00050176]
  ...
  [0.00083379 0.00078767 0.00060949]
  [0.00080637 0.00076127 0.00058618]
  [0.00079281 0.00075476 0.00057875]]

 [[0.00239519 0.00218341 0.00071918]
  [0.00132169 0.00111466 0.00044333]
  [0.00088251 0.00074054 0.00045406]
  ...
  [0.00077403 0.0007279  0.00055592]
  [0.00084539 0.00079991 0.0006201 ]
  [0.00089372 0.00084876 0.00066235]]]",[ 0.8        -0.79722167],0.5924007494888626
3,18,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00090677 0.00078513 0.00049847]
  [0.00077705 0.00073374 0.00046545]
  [0.00069218 0.00067456 0.00049264]
  ...
  [0.00089818 0.00085381 0.00066657]
  [0.00078189 0.00075058 0.00057056]
  [0.00077357 0.00075553 0.000569  ]]

 [[0.00080818 0.00075525 0.00043748]
  [0.00071606 0.00069266 0.00042194]
  [0.00073144 0.00070215 0.00057851]
  ...
  [0.0008145  0.00078254 0.00059804]
  [0.00081951 0.0008013  0.00060812]
  [0.00083586 0.00082284 0.00062713]]

 [[0.00077622 0.00075446 0.00041785]
  [0.0006989  0.00067358 0.00049858]
  [0.00073292 0.00070487 0.00060411]
  ...
  [0.00085954 0.00084004 0.00064311]
  [0.00086983 0.00085554 0.00065542]
  [0.00094834 0.00093922 0.00072837]]]",[ 0.8 -1. ],0.6392706834975976
3,19,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00079361 0.00077823 0.00058863]
  [0.00072099 0.00070562 0.00052352]
  [0.00071095 0.00069557 0.00051433]
  ...
  [0.00083859 0.00079273 0.00061349]
  [0.00083643 0.0007903  0.00061176]
  [0.00079394 0.00074784 0.00057367]]

 [[0.00083518 0.0008198  0.00062453]
  [0.00072123 0.00070585 0.00052411]
  [0.00074497 0.00072959 0.00054553]
  ...
  [0.00075914 0.00071301 0.00054395]
  [0.00081511 0.000769   0.00059325]
  [0.00092313 0.00087991 0.0006893 ]]

 [[0.00069008 0.0006747  0.00049827]
  [0.00076637 0.00075139 0.00056418]
  [0.00083977 0.00082458 0.00062739]
  ...
  [0.00079188 0.00074576 0.00057286]
  [0.00087561 0.00083048 0.00064564]
  [0.00087867 0.00083346 0.00064925]]]",[ 0.67378529 -0.97502836],0.6873507613043204
3,20,"[[[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 [[0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  ...
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]
  [0.00324491 0.00261438 0.00292195]]

 ...

 [[0.00077789 0.00076251 0.00057326]
  [0.00068983 0.00067443 0.00049681]
  [0.00072663 0.00071118 0.00052982]
  ...
  [0.00082693 0.00080445 0.00061434]
  [0.00084171 0.00080358 0.00061979]
  [0.00088798 0.00084731 0.00066137]]

 [[0.00075149 0.00073611 0.00055033]
  [0.00069764 0.00068226 0.00050524]
  [0.00078467 0.00076929 0.00057993]
  ...
  [0.00090463 0.00089001 0.00068583]
  [0.00090883 0.00089216 0.0006875 ]
  [0.00093602 0.00090934 0.00070801]]

 [[0.00067852 0.00066314 0.00048853]
  [0.00079835 0.00078297 0.00059194]
  [0.00081395 0.00079857 0.00060572]
  ...
  [0.00087677 0.00086143 0.00066077]
  [0.00092084 0.00090535 0.00069992]
  [0.00088729 0.00086053 0.00066638]]]",[ 0.8        -0.82031503],0.7378903933863841
